zip,city,state,latitude,longitude
39851,FORT GAINES,GA,31.649492431,-85.04195585
39854,GEORGETOWN,GA,31.843318875,-85.09070443
39859,IRON CITY,GA,31.018864532,-84.799288
39861,JAKIN,GA,31.123691247,-84.98833149
39862,LEARY,GA,31.448244581,-84.52542665
39866,MORGAN,GA,31.558688706,-84.60925133
39867,MORRIS,GA,31.785991626,-84.97023987
39870,NEWTON,GA,31.31181172,-84.39275256
39877,PARROTT,GA,31.921485179,-84.52042326
39886,SHELLMAN,GA,31.746508978,-84.60679404
39897,WHIGHAM,GA,30.882878242,-84.32308484
40003,BAGDAD,KY,38.265732848,-85.04860499
40004,BARDSTOWN,KY,37.817829175,-85.45263976
40006,BEDFORD,KY,38.595248715,-85.31532319
40007,BETHLEHEM,KY,38.445566047,-85.01115783
40008,BLOOMFIELD,KY,37.912422333,-85.28676105
40009,BRADFORDSVILLE,KY,37.4754442,-85.11902243
40010,BUCKNER,KY,38.371325417,-85.45167345
40011,CAMPBELLSBURG,KY,38.531978108,-85.19123059
40012,CHAPLIN,KY,37.904154513,-85.19741987
40013,COXS CREEK,KY,37.915881126,-85.51054868
40014,CRESTWOOD,KY,38.336717243,-85.44993708
40019,EMINENCE,KY,38.372264904,-85.17668106
40022,FINCHVILLE,KY,38.152730386,-85.33465225
40023,FISHERVILLE,KY,38.165396389,-85.41702364
40026,GOSHEN,KY,38.408219559,-85.57545536
40031,LA GRANGE,KY,38.405966302,-85.38998172
40033,LEBANON,KY,37.566102061,-85.2604266
40036,LOCKPORT,KY,38.441895677,-84.97269736
40037,LORETTO,KY,37.646896195,-85.41129704
40040,MACKVILLE,KY,37.759358492,-85.06378559
40041,MASONIC HOME,KY,38.256097397,-85.66613397
40045,MILTON,KY,38.697057171,-85.36354686
40046,MOUNT EDEN,KY,38.027939469,-85.1709837
40047,MOUNT WASHINGTON,KY,38.04332395,-85.56254424
40050,NEW CASTLE,KY,38.437084601,-85.17714093
40051,NEW HAVEN,KY,37.6753359,-85.56298961
40052,NEW HOPE,KY,37.611385888,-85.50939346
40055,PENDLETON,KY,38.491905268,-85.31965482
40056,PEWEE VALLEY,KY,38.303136405,-85.48264661
40057,PLEASUREVILLE,KY,38.368631784,-85.07600323
